count,x,y,radius,density
129,348.81,277.57,26.7,0
121,320.62,301.24,25.26,0
119,312.4,295.65,25.9,0
113,315.25,302.1,25.28,0
109,317.65,306.13,24.12,0
116,326.3,313.11,23.19,0
111,324.67,303.25,23.04,0
101,312.18,298.19,22.74,0
92,267.02,293.7,21.28,0.23
84,253.91,294.17,22.36,0.4
82,259.06,285.59,22.32,0.54
73,254.3,287.85,21.45,0.47
74,250.62,278.27,20.9,0.86
75,238.29,277.14,21.07,0
74,228.12,275.04,20.81,0
60,219.42,273.51,20.66,0
55,212.79,278.79,19.77,0
61,254.1,263.54,20.07,0
63,255.54,262.09,19.75,0
68,272.76,267.4,18.73,0
70,282.54,274.78,18.76,0
63,272.89,258.35,20.1,0
60,254.17,249.04,19.24,0
55,252.56,236.85,18.41,0
54,264.34,230.44,18.06,0
51,248.98,230.41,17.97,0
57,247.76,230.82,18.49,0
56,250.23,233.14,20.35,0
57,241.84,221.39,22.25,0
58,248.62,213.4,22,0
61,235.79,223.14,22.93,0
52,241.46,218.28,21.21,0
47,259.67,214.19,21.33,0.61
54,260.59,204.35,22.47,0.8
58,257.93,204.59,22.98,0.87
61,260.92,204,22.11,1.22
66,264.06,203.66,23.11,1.25
59,264.86,193.54,23.3,0
55,263.6,192.07,23.32,0
49,274.47,193,21.21,0
46,267.59,202.86,20.69,0
43,282.19,203.23,18.84,0
43,284.46,212.3,17.55,0
39,270.85,214.53,17.06,0
51,266.15,226.79,19.54,0.1
54,270.58,231.35,21.35,0
53,288.1,246.69,18.87,0
50,284.13,263.83,18.68,0
56,289.57,263.39,18.41,0
51,314.1,270.71,19.49,0
47,327.27,268.56,19.26,0
45,329.74,270.62,17.89,0
42,337.06,272.8,17.44,0
39,332.52,269.8,18.36,0
42,335.89,262.88,16.88,0
38,318.49,275.7,16.09,0
35,311.44,275.12,14.97,0
40,297.51,262.21,15.68,0
42,292.4,256.76,15.78,0
45,304.07,253.82,16.43,0
41,306.07,238.83,15.72,0
40,309.79,218.54,15.07,0
37,306.85,217.81,15.2,0
40,300.02,209.84,15.75,0
38,306.02,212.21,15.46,0
44,274.5,214.05,15.36,0
48,300.48,202.13,16.7,0
48,317.76,212.5,17.58,0
42,331.39,214.17,16.4,0
48,324.31,217.74,17.61,0
51,331.4,218.38,18.33,0
48,338.01,226.33,17.94,0
50,340.77,226.74,17.97,0
163,352.72,240.02,30.4,0
167,354.64,238.62,31.34,0.06
172,354.81,236.91,31.62,0.09
175,360.88,238.1,31.75,0.09
158,353.24,238.26,29.98,0
107,318.48,257.74,24.96,0.04
107,318.13,243.5,26.57,0.04
109,318.25,243.11,26.53,0.04
112,312.56,240.96,27.42,0
104,327.33,256.86,27.6,0
102,325.26,252.93,28.86,0
100,328.18,254.69,27.59,0
91,329.05,251.13,26.78,0
83,336.63,237.98,26.65,0
77,337.51,231.78,27.68,0
81,334.64,231.41,26.57,0
79,334.8,235.15,25.3,0
80,355.73,231.35,23.85,0
76,355.43,234.56,22.8,0
71,345.51,231.65,23.09,0
70,354.25,234.23,22.61,0
56,345.68,227.03,22.54,0
55,334.53,226.17,22.85,0
55,322.89,228.07,22.78,0
55,315.59,228.37,22.63,0
45,307.85,227.06,18.55,0
45,311.44,225.03,18.87,0
44,317.53,222.82,19.03,0
44,328.72,231.29,18.89,0
39,331.46,222.65,20.69,0
38,342.87,226.9,19.36,0
36,337.3,229.02,19.36,0
34,323.46,238.77,17.89,0
30,318.32,231.6,17.06,0
27,317.57,232.42,16.55,0
30,313,228.18,15.1,0
33,306.59,231.34,13.6,0
26,290.28,254.56,14.18,0
30,289.37,272.81,15.1,0
30,291.53,275.88,14.63,0
28,281.42,276.21,14.97,0
30,281.41,284.07,15.03,0
32,260.54,258.89,14.56,0
29,254.38,252.09,15.03,0
28,240.32,240.83,16,0
28,249.18,247.36,17.38,0
30,244.53,236.67,19.42,0
31,245.02,237.97,20.54,0
28,256.88,251.77,19.26,0
38,249.17,250.62,20.78,0
42,257.8,248.22,21,0
43,250.13,252.51,19.44,0
44,256.48,247.6,17.66,0
41,247.37,253.09,17.86,0
40,236.57,255.86,18.76,0
37,251.29,268.34,17.8,0
39,281.53,258.78,16.25,0
39,301.67,277.5,16.16,0
39,278.21,255.9,17.32,0
39,264.95,252.19,17.2,0
37,274.48,256.01,15.97,0
37,281,265.38,16.34,0
39,270.99,293.59,18.44,0
39,281.84,295.46,17.09,0
40,305.91,289.04,14.93,0
39,310.06,299.84,15.65,0
38,317.81,301.98,17.32,0
38,325.73,300.28,16.67,0
37,343.55,297.59,16.34,0
37,349.72,297.26,15.65,0
35,326.36,285.75,16.12,0
33,322.81,291.66,15.36,0
27,325.05,310.27,13.78,0
27,328.97,283.89,15.87,0
28,318.98,266.73,15.39,0
29,317.66,253.05,14.63,0
27,346.66,269.27,13.96,0
26,350.82,272.35,14.32,0
24,342.42,297.58,13.86,0
23,337.41,302.41,13.19,0
28,365.84,315.49,12.65,0
29,369.22,299.18,15.07,0
30,370.88,298.83,15.72,0
27,376.35,294.34,15.81,0
30,369.39,286.87,16.58,0
31,367.17,296.72,16.43,0
27,376.07,308.17,14.46,0
30,336.6,278.5,12.92,0
26,341.38,259.15,12,0
24,338.13,264.2,11.53,0
106,349.96,222.34,21.17,0
106,346.52,226.76,22.11,0
105,341.47,237.83,23.32,0
106,339.23,233.39,23.54,0
107,333.13,226.73,23.37,0
93,342.4,214.74,22.65,0.04
92,347.18,218.69,22.52,0.04
92,349.55,223.89,22.54,0.04
93,375.29,229.83,22.69,0
69,385.02,237.59,20.86,0
69,367.44,232.48,20.54,0
72,365.07,223.67,21.12,0
77,384.8,233.45,21.33,0
76,368.05,232.97,23.11,0
76,363.06,232.12,23.54,0
71,359.43,222.72,23.09,0
62,365.82,227.04,21.52,0
49,324.96,212.4,17.66,0
48,329.49,212.03,17.86,0
43,332.17,208.08,17.29,0
42,359.67,205.11,16.16,0
39,363.49,214.94,15.75,0
36,360.14,218.46,15.03,0
35,353,229.84,13.82,0
33,353.71,241.59,12.33,0
31,364.58,270.09,13.56,0
29,377.41,251.41,14.18,0
28,371.44,234.98,14.46,0
26,361.99,227.96,14.11,0
22,362.31,217.54,13.78,0
25,367.38,227.02,14.63,0
24,359.97,228.97,13.19,0
25,371.84,248.48,13.96,0
24,340.56,232.38,13.42,0
23,363.5,238.17,12.45,0
25,388.83,248.85,13.23,0
30,403.48,237.67,14.25,0
28,424.8,248.9,12.88,0
27,446.43,242.03,11.58,0
32,403.72,240.12,12.49,0
32,393.38,241.89,12.92,0
30,384.84,258.09,12.96,0
29,384.53,257.23,13.23,0
27,383.06,248.45,13.08,0
27,410.99,258.83,12.04,0
29,413.58,197.37,11.22,0
31,423.08,207.99,11.4,0
35,408.93,218.83,12.17,0
35,418.86,220.64,12.57,0
36,394.92,261.2,12.96,0
39,377.23,266.8,14.83,0
37,373.63,277.51,14.8,0
35,365.46,285.18,14.83,0
29,331.81,265.21,15.36,0
30,301.95,282.32,17.03,0
33,308.37,294.72,17.41,0
31,324.39,280.18,16.16,0
32,338.28,278.44,16.12,0
35,322.93,299.35,16.88,0
36,311.53,274.6,16.67,0
33,323.27,296.95,16.88,0
41,330.05,315.34,17.44,0
41,331.19,308.05,19.03,0
45,336.46,294.62,20,0
40,346.22,318.4,19.54,0
52,320.99,321.05,20.37,0
51,320.39,289.75,19.05,0
43,316.7,284.38,18.49,0
39,313.42,288.13,17.78,0
42,310.52,292.02,17.66,0
42,323.97,308.15,18.06,0
46,309.04,292.45,18.17,0
49,320.19,300.14,17.69,0
47,335.68,311.83,19.65,0
46,320.78,305.71,18.19,0
43,332.1,318.06,16.91,0
40,329.27,303.6,14.56,0
43,326.13,293.39,14.25,0
44,328.21,289.76,13.45,0
43,329.82,233.55,13.3,0
44,301.2,226.01,13.56,0
44,291.35,203.1,15.3,0
37,295.98,193.15,15.97,0
35,305.8,186.4,16.09,0
38,329.57,191.93,15.68,0
34,328.24,213.46,15.33,0
32,309.44,222.51,14.73,0
34,333.93,233.68,14.66,0
33,368.91,287.49,15.33,0
29,382.2,281.03,15.84,0
95,399.99,262.49,23.94,0
102,387.77,261.38,25.51,0.16
105,370.06,242.46,27.06,0
110,372.79,244.73,27.62,0
110,368.56,242.79,27.5,0
89,351.47,224.47,25.34,0
92,364.12,216.95,25.9,0
79,361.91,219.93,24.37,0
73,372.22,226.81,23.56,0
56,354.4,225.14,20.64,0
56,356.47,221.69,19.16,0
59,347.77,219.73,19.16,0
52,353.94,218.14,17.89,0
48,369.73,216.04,16.7,0
49,359.87,236.53,15.65,0
49,364.19,238.01,14.87,0
48,357.9,226.45,15.13,0
47,370.93,219.95,14.46,0
46,390.63,232.16,14.83,0
41,379.67,202.05,15.56,0
45,372.58,205.3,16.58,0
48,347.26,205.34,17.69,0
47,342.5,190.92,17.92,0
43,336.96,173.56,16.49,0
39,331.38,156.21,16.94,0
34,333.58,145.79,16.43,0
32,338.83,154.94,15.97,0
29,342.15,149.6,15.17,0
27,334.67,123.44,14.87,0
37,319.48,133.32,15.94,0
36,340.19,150.27,16.09,0
31,339.42,131.8,15.91,0
32,342.74,139.39,16.97,0
34,342.55,158.13,18.49,0
35,351.62,160.62,18.84,0
39,345.01,182.17,17.38,0
38,357.14,196.24,17.66,0
42,360.39,227.97,19.1,0
41,349.47,246,20.05,0
36,350.92,241.37,20.1,0
35,341.65,243.03,20.37,0
36,333.68,258.16,19.77,0
39,325.72,238.75,20.17,0
37,323.71,260.28,19.6,0
34,325.77,253.85,18.33,0
37,346.17,242.54,18.14,0
37,368.2,257.76,19.08,0
37,366.73,266.97,19.36,0
40,357.85,254.9,19.39,0
37,353.14,259.1,19.18,0
34,349.55,239.99,20.02,0
33,334.67,244.47,19.24,0
34,315,264.46,19.05,0
35,315.71,292.89,19.6,0
40,306.06,274.51,20.95,0
36,311.79,284.79,21.1,0
38,333.09,287.85,20.81,0
45,330.95,288.23,21.73,0
50,329.13,290.74,22.58,0
46,321.31,297.02,20.93,0
46,322.35,268.32,19.75,0
46,312.39,283.53,19.9,0
49,326.02,281,21.14,0
48,327.41,270.07,20.3,0
45,330.14,245.67,19.92,0
41,314.77,236.13,19.82,0
37,297.92,232.87,19.77,0
41,292.18,205.65,18.47,0
37,286.64,211.9,19.03,0
37,290.72,228.21,17.83,0
38,290.94,242.59,18.49,0
37,300.92,263.54,17.18,0
37,281.32,265.53,17.03,0
36,286.47,254.64,17.64,0
40,293.89,245.13,17.29,0
39,299.44,238.17,17.52,0
38,297.4,239.79,16.82,0
43,319.55,216.71,17.61,0
41,346.69,195.53,18.08,0
45,349.51,215.75,19.16,0
40,336.77,201.42,19.67,0
42,325.73,234.7,21.19,0
43,342.89,238.63,22.11,0
48,357.2,227.66,20.76,0
48,380.77,199.47,20.42,0
54,384.18,179.03,20.54,0
54,379.78,214.96,21.7,0
46,379.69,205.96,20.64,0
49,382.14,213.83,21.31,0
46,375.65,215.97,20.49,0
47,380.37,220.61,21.31,0
50,394.85,221.38,20.76,0
50,391.05,231.07,21.45,0
46,416.57,210.75,20.27,0
45,412.86,222.98,18.49,0
46,392.36,219.14,19,0
44,395.03,211.39,18.44,0.92
41,379.83,221.26,19.49,0
39,368.06,212.74,20.71,0
44,371.47,205.39,21.1,0
44,366.38,215.41,20.78,0
49,370.53,216.28,21.26,0
48,367.74,226.39,22.67,0
46,369.68,233.59,21.61,0.05
43,361.09,241,21.42,0.65
103,351.89,228.5,26.91,0
100,351.18,228.38,27.55,0
99,352.03,220.35,28.74,0
105,345.37,218.84,28.84,0
101,353.61,221.57,27.57,0
99,353.44,219.88,27.04,0
92,360.33,217.58,26.17,0
89,354.67,216.37,25.98,0
85,357.57,202.17,25.1,0
85,358.1,198.47,24.12,0
82,365.58,192.72,23.94,0
78,346.73,198.15,23.3,0
75,342.21,213.37,21.17,0
71,343.72,200.67,21.42,0
70,349.17,208.29,21.35,0
64,366.32,200.48,20.81,0
57,373.37,186.15,19.57,0
49,395.78,165.72,19.67,0
53,400.3,176.68,19.72,0
49,400.19,179.06,19.42,0
52,396.23,174.39,18.87,0
58,368.45,209.09,18.57,0
61,382.87,206.4,20.3,0
61,378.98,208,21.1,0
58,358.76,236.42,20.12,0
48,342.47,237.7,20.47,0
46,328.02,223.68,20.69,0
45,327.55,229.27,20.71,0
43,330.4,219.41,20.02,0
39,333.27,213.93,18.79,0
46,349.68,220.25,19.85,0
45,347.39,212.9,19.36,0
44,367.22,216.2,20.49,0
49,354.94,189.34,20.74,0
52,335.44,174.01,22.38,0
49,331.33,171.5,21.91,0
48,327.18,170.9,22.27,0
54,301.23,154.11,22.38,0
51,286.67,149.37,21.66,0
54,284.95,153.72,19.9,0
52,266.93,162.09,19.6,0
54,274.2,174.8,20.2,0
46,293.81,177.48,20.66,0
43,300.81,183.88,19.92,0
40,304.05,167.76,21.02,0
46,322.86,149.18,23.3,0
38,316.75,140.34,23.09,0
44,296.84,151.81,21.91,0
47,307.08,158.59,21.47,0
50,306.52,153.78,20.62,0
49,295.42,151.57,19.67,0
49,297.02,139.82,18.79,0
40,280.72,143.99,16.88,0.24
43,263.93,129.72,17.2,0
50,278.84,144.84,16.09,0.06
48,299.16,178.65,16,0
44,293.7,166.2,16.52,0
45,299.84,166.69,16.03,0
47,312.76,199.13,16.61,0
49,317.01,206.37,17.69,0
43,313.85,204.48,17.49,0
50,313.06,192.47,19.49,0
49,314.51,198.06,19.77,0
54,322.34,201.25,20.25,0
51,325.03,191.24,18.47,0
55,319.2,201.82,17.69,0
48,325.16,218.34,17.72,0.17
48,328.61,217.02,17.52,0.34
45,320.01,208.49,17.29,0
46,323.5,202.64,18.6,0.11
